Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
266.1549,12.66,2306336.824,2432876.652,2325126.63,4187165.183,2602088.946,3387505.207
740.2173,4.26,3065104.409,3716182.586,3915863.537,4795260.065,4426516.531,4676244.966
445.1438,7.5,1780275.236,1968471.696,980855.9158,2067604.207,2525442.772,2280930.194
500.2149,12.71,1657021.296,2723999.567,3741587.607,4038446.641,4434711.993,3480303.936
524.1791,8.44,263907.3222,357371.2773,367071.7976,309604.4293,230843.6915,271563.6968
348.1777,13.65,2171138.725,747736.7703,673993.4797,4730986.106,4393672.466,4492158.754
326.0999,3.35,1421810.634,1551017.328,1659991.197,1191385.177,1427394.785,1353163.023
213.1095,4.65,601466.5578,813254.2249,604388.2614,1,1,1
978.1242,3.73,1283228.24,1492472.741,1249774.403,1361992.94,1923271.761,1666172.483
467.2651,10.93,1,1035.689224,1,2681.500135,6000.23288,8443.808087
294.219,13.67,407508.9407,467491.0324,410067.4405,314267.2559,285100.4753,292347.3004
856.4853,13.65,1,1,1,25562.12835,1,1
148.0738,1.79,2328791.181,2525989.759,2211358.494,1041016.219,1004055.296,1022851.707
133.9307,21.26,981252.8972,581590.9579,2296010.128,723406.8124,380985.1924,2119977.597
522.2095,4.8,1295125.022,1267243.147,1525940.333,1747686.06,2024838.664,1933634.689
601.3954,4.9,3251981.087,3069175.409,3313138.613,4869603.196,4450876.384,4665452.652
506.2256,12.2,1,1,1,8390.284799,5346.258753,10169.66482
548.1834,14.48,1,1,1,1,2676631.484,1589591.757
460.2579,13.94,1,1,1,4271184.488,1889971.076,2879825.734
481.0719,4.4,2222830.96,2453003.187,2444611.141,1564651.261,1937577.364,1801408.454
352.1371,2.81,1277094.206,1397160.796,1353593.783,1523409.444,1612057.574,1512387.595
898.458,12.16,1,1,1,1,1,1
464.2899,14.31,2624.336255,1,1,185667.8539,1,14138.25987
628.4144,4.89,3068268.291,3035511.764,3239145.491,4433149.21,4112146.744,4293569.003
558.0276,4.42,1743798.702,1734928.341,1840232.014,893107.3684,1216164.623,1032385.631
410.2432,14.38,1,16883.75712,1,1,659707.5967,367151.918
978.2117,6.37,2854679.584,3120978.707,3130404.964,2585737.023,2491127.501,2537321.383
484.2797,14.21,1,1,1,1,1,1
404.1313,3.82,857504.5353,885101.4953,839472.6552,629567.0469,851182.0307,764773.1133
354.2187,14.05,613860.8342,1182321.018,374047.465,1934470.477,1754312.504,1859582.427
112.0163,1.24,130801.9879,367562.7058,1111207.185,380516.0181,463425.0838,433801.3637
594.2803,11.54,1175589.56,1408075.657,1258083.947,3189653.448,2040093.848,2672082.219
335.1002,7.68,371151.6299,702908.8083,688428.6685,1274997.854,1120347.112,1162946.519
118.0267,1.38,962225.1904,936241.8753,965109.405,499051.2924,546562.7684,531442.9833
502.23,13.8,1478424.495,2944248.818,3569146.6,1,4399257.459,4127239.238
792.4955,5.28,2179854.019,1862327.302,1825810.917,3820380.05,3809679.467,3829376.064
905.5797,5.56,2227940.429,1988394.353,1743549.831,3902565.452,3762393.585,3818991.429
490.2299,14.07,1,1,1,1656297.922,2220820.719,1394997.945
912.5467,14.27,1,1,1271.273203,1,1,1
1072.2298,4.38,1929105.229,1534127.151,2326891.519,1304755.209,1629876.219,1441158.439
918.4982,14.95,1,1,6517726.13,1323358.11,199456.6775,1719129.085
450.2646,14.95,1,1,5014554.127,1,1,1
477.2849,12.52,2270687.35,1752513.959,2326031.063,3277363.928,2328596.427,1833157.973
1008.2034,3.1,859569.7061,1027438.047,1169022.215,958429.5343,688081.5213,835560.4028
541.3367,13.18,3264403.05,3850652,3423386.112,1443133.811,1012560.238,1232479.228
162.9763,2.09,1413070.674,1230067.094,1976355.775,1727444.684,686286.2207,1612305.128
854.583,5.54,3135844.276,3022470.753,3090872.835,2487553.247,2423062.626,2616146.235
545.1028,6.46,3402040.055,2837819.66,3414652.417,3059592.78,3055210.968,3156945.161
858.2572,5.23,1805995.878,2192975.458,2073826.991,2306180.778,2225511.013,2263377.138
306.104,2.37,1921950.62,703660.7113,2053480.346,792264.5799,719243.5651,725252.7291
596.296,12.41,1130387.526,1343280.269,1183031.194,2815915.866,1785340.026,2309232.748
497.085,4.13,2216173.691,2686088.171,2542120.205,2765608.203,2597039.35,2700764.777
940.6479,5.78,2729376.899,2594223.256,2246076.032,3596889.952,3531493.513,3631223.614
307.0835,8.44,248058.3168,342278.5593,360114.5871,294444.9625,209243.8435,263112.647
330.0953,3.81,2174187.544,2218850.964,2127656.591,2826253.255,2168896.617,2491006.921
396.1634,2.82,2448764.194,2816992.726,2324946.185,2325784.461,2034480.58,2198761.933
914.4681,13.34,2119652.573,2861977.558,1,2123078.656,1,2819742.709
268.2398,16.38,1,1,1,1,1,1
519.2592,11.53,986344.5169,1230408.238,1125115.828,3156733.164,1899015.104,2404944.323
756.2118,3.9,1971851.656,2816846.322,2790091.578,3004010.04,2938980.756,2971700.283
273.012,6.85,904058.0362,1358176.712,1243820.437,3107881.124,2242815.167,2670672.017
557.0724,6.36,1386539.29,1702194.837,1645346.128,1201298.249,1120268.358,1164212.1
563.3215,11.84,1632373.316,1580299.39,1690710.714,3314160.163,1777386.393,2391515.402
