leixing,Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
1.0,684.1598,3.44,51517.67539,53570.75813,49522.46993,1.0,1.0,1.0
0.0,678.1394,3.44,98186.65493,115871.1462,106262.721,159418.9278,133465.1221,164619.9184
1.0,907.1964,3.05,54003.4496,64856.90931,76105.22314,1.0,1.0,1.0
0.0,901.1767,3.06,177916.4167,208469.4075,197342.7671,232957.6449,173461.0608,211693.9562
1.0,518.2176,4.86,47130.61568,41278.14034,56383.56003,1.0,1.0,887.0472859
0.0,512.1983,4.85,24299.56026,21542.85288,27403.8545,19039.00307,14406.11409,22410.67875
1.0,526.2134,5.33,51307.14696,18601.87289,64996.45855,1379.584949,1288.779539,967.6808103
0.0,520.1937,5.34,396756.7202,426501.4008,185322.6447,388659.6876,483701.6426,369417.3631
1.0,526.2134,5.33,51307.14696,18601.87289,64996.45855,1379.584949,1288.779539,967.6808103
0.0,520.1932,5.33,409686.9433,408708.403,471967.4129,389360.5519,457584.1573,356390.4697
1.0,572.2193,5.34,40033.57241,32255.52069,31155.67071,1.0,1.0,1.0
0.0,566.1991,5.34,485600.117,569552.6853,220393.033,512441.3823,615193.9687,386391.9319
1.0,572.2193,5.34,40033.57241,32255.52069,31155.67071,1.0,1.0,1.0
0.0,566.1993,5.34,483080.6869,581512.2328,145666.1241,427328.9988,613878.0866,510939.6167
1.0,460.128,4.67,37047.10468,36545.06433,34006.18143,1.0,1.0,1.0
0.0,454.1072,4.67,83315.96688,68281.06377,55939.4319,97190.30594,1.0,77458.35127
1.0,438.1255,5.88,28619.10868,35453.66802,37257.71645,1.0,1.0,1.0
0.0,432.105,5.88,46972.20039,65682.60887,61150.18742,61749.50152,68979.56864,68207.76358
1.0,528.1929,7.09,5234.752996,5819.994042,10287.70337,1.0,1.0,1.0
0.0,522.1729,7.09,188317.1117,186673.2385,193916.8645,220931.1252,261588.8865,240415.8401
1.0,573.1991,2.53,19609.55067,46568.6873,21899.62246,1.0,1.0,1.0
0.0,567.1799,2.53,89775.69063,143353.7847,150454.2655,274827.5976,206224.7222,212670.7102
1.0,646.1827,4.18,20282.99017,12047.20814,11389.18616,1.0,1.0,1.0
0.0,640.1619,4.18,50086.79131,68074.11447,57417.4812,69126.95218,70041.46159,71590.39142
1.0,720.2712,5.78,36151.79864,33909.49349,19478.32973,1.0,1.0,1.0
0.0,714.2513,5.79,394392.9065,182162.1164,469764.8318,487782.8003,396798.4459,485871.1878
1.0,171.0625,3.59,8610.106999,17017.67622,10871.23986,1.0,1.0,1.0
0.0,165.0425,3.57,52446.5728,57560.8377,44273.16079,33254.08441,26793.8877,27417.60853
1.0,466.1927,4.88,48883.75863,47001.33409,49045.03722,1.0,1.0,1.0
0.0,460.1728,4.88,68370.66819,50371.667,70623.49774,43466.22544,58381.94077,52972.83156
1.0,154.0722,5.32,108950.8216,146246.865,138800.4849,1.0,1.0,1.0
0.0,148.0521,5.32,18955.54434,25487.15645,21919.50959,20912.93911,28489.43963,26830.22868
1.0,668.164,5.03,32549.62457,42523.91683,29896.73072,1051.24688,1.0,1.0
0.0,662.1439,5.02,39483.05046,33849.58272,39739.11836,72508.28883,56223.05244,54758.16794
1.0,626.1905,3.86,77908.82559,62777.80905,80220.53016,1.0,8398.903088,1.0
0.0,620.1708,3.86,547414.4722,470982.039,422669.2821,556885.4655,674573.3367,597657.1424
1.0,378.1614,5.6,16602.67768,16931.99892,19515.92319,1.0,1.0,1.0
0.0,372.1414,5.61,141873.3058,148501.5158,25914.58397,246914.6186,217890.6359,123358.8309
1.0,1092.3246,3.63,42765.10928,40621.83779,41047.89666,2074.751341,1.0,1.0
0.0,1086.3039,3.63,151393.7049,150671.9496,160925.2353,178851.9465,160000.4033,176385.6702
1.0,558.2034,3.68,1.0,18705.79686,18227.17173,1.0,1.0,1.0
0.0,552.1841,3.68,455763.2671,435898.9758,490747.9808,490737.8986,478386.8858,467031.5568
1.0,724.302,4.96,12519.06568,8820.943006,19206.59015,1.0,1.0,1.0
0.0,718.2824,4.97,163457.601,195443.4297,232469.371,336129.4532,207435.9606,226171.3842
1.0,396.1508,3.86,82722.49988,64764.1163,61768.01705,1.0,1.0,1.0
0.0,390.1316,3.86,342228.4661,304559.5555,364024.0567,402538.9656,491744.4277,449611.6388
1.0,892.2935,3.55,34846.52632,39618.75784,43702.10172,1.0,1465.965178,1.0
0.0,886.2728,3.55,256416.2352,291697.9629,312402.7719,405953.869,367863.5749,382310.3675
1.0,668.1652,3.8,32206.07062,32248.32747,27333.04763,1.0,1.0,1.0
0.0,662.1447,3.8,91855.47798,98709.40997,98147.58065,127324.6741,120139.5194,128438.4837
1.0,932.2636,5.24,8202.263002,8399.084393,9244.694336,1.0,1.0,1.0
0.0,926.2435,5.23,438536.525,531737.9065,465139.2281,518375.4225,511454.7181,535596.3027
1.0,962.334,3.84,26904.60061,26603.92614,34324.36609,1.0,1.0,1.0
0.0,956.3147,3.84,139569.1724,120816.9547,139665.1317,117106.5922,190929.69,148828.997
1.0,153.0648,2.94,23907.14914,25760.90764,1.0,1.0,1.0,4812.060723
0.0,147.0448,2.94,105115.5363,121145.2884,117958.7446,195550.3807,182744.5063,193563.7623
1.0,690.2817,3.55,17139.98584,18339.87278,19171.13254,1.0,1.0,2171.961466
0.0,684.2617,3.55,174936.8477,228000.8341,225836.1128,324864.6538,331171.2841,316512.8511
1.0,384.1364,1.9,1.0,19117.16324,38624.63444,1.0,1.0,1.0
0.0,378.1157,1.9,244525.734,190653.2208,236297.9195,283637.1352,264916.7133,256628.477
1.0,558.2035,3.98,91824.76742,58204.6009,15760.25459,1.0,1.0,1.0
0.0,552.1836,3.97,290784.4896,465253.3629,544542.297,241024.7132,326232.7863,585885.7203
1.0,1036.274,3.72,24432.77135,1.0,30575.4171,1.0,1.0,1.0
0.0,1030.2543,3.72,118081.4096,133225.725,128576.3626,129742.3111,182155.3403,165371.3318
1.0,336.1147,3.81,12135.98703,6382.658184,1936.067211,1.0,1.0,1.0
0.0,330.0953,3.81,2174187.544,2218850.964,2127656.591,2826253.255,2168896.617,2491006.921
1.0,394.1202,3.04,22817.54462,15894.16724,26178.52082,1.0,1.0,1.0
0.0,388.1,3.05,114789.4348,97160.47601,78890.25974,93591.19983,101093.5464,98108.70173
1.0,724.3022,4.85,19110.90311,13253.53311,13026.7302,1.0,1.0,1.0
0.0,718.2823,4.85,167489.0844,196030.67,196475.4037,182202.5288,202262.3956,233492.6973
1.0,278.0882,7.69,17749.9869,33489.71362,24518.70425,1.0,1.0,1.0
0.0,272.0682,7.7,10708.13377,20031.05222,21022.65203,21903.7976,24832.59514,26926.27627
1.0,411.1108,2.78,10533.36716,7755.603236,9716.428074,1.0,1.0,1.0
0.0,405.0908,2.76,2326.104765,27831.63002,15551.35065,16593.37786,10395.11695,17501.54076
1.0,834.2621,6.72,47560.15194,52966.2623,32238.44021,1109.187447,1.0,1.0
0.0,828.2433,6.73,212926.3784,25363.69786,190539.4496,216696.3679,189527.4452,235457.9266
1.0,778.2249,3.39,25006.83441,24418.30853,27701.96001,1.0,1.0,1.0
0.0,772.205,3.39,152570.7207,224013.7896,196822.3704,289723.0159,210172.8117,246258.0467
1.0,855.2472,4.04,22376.61644,25987.3306,20767.42513,1.0,1.0,1.0
0.0,849.2284,4.04,223053.0433,289678.6002,287536.0374,479574.5766,421991.9211,454852.2192
1.0,736.1517,4.29,18787.50324,32034.36239,9919.327418,1.0,1.0,1.0
0.0,730.1323,4.28,132756.7146,132591.8155,123339.6405,110150.4038,135964.4709,121652.6343
1.0,440.141,6.15,34710.4468,37025.84015,30990.97038,1.0,1.0,1.0
0.0,434.1208,6.12,13799.23581,18168.19307,20144.13554,26624.57292,19285.05739,23120.70548
1.0,1068.361,4.25,42751.20388,42289.01105,40670.75941,1.0,1.0,1.0
0.0,1062.341,4.25,149708.4759,121493.0609,197624.6895,162101.2749,114447.3784,126180.9362
1.0,628.2455,3.61,37207.71193,28752.98745,33448.20765,1.0,1.0,1.0
0.0,622.2249,3.61,136705.4932,104230.2022,122651.3837,118794.3385,124074.9336,120716.7773
1.0,494.1875,5.8,13290.50367,9082.417096,18265.75676,1.0,1.0,1.0
0.0,488.1675,5.8,439557.4083,469131.2388,539720.8021,438589.0955,481249.6339,459315.4827
1.0,184.0466,3.58,11503.58644,20219.43997,20957.11669,1.0,1.0,1.0
0.0,178.0264,3.58,70379.85559,127131.3722,143633.2248,126093.0814,140868.5229,126298.6104
